unified_id,question_text,validity,source_types,n_instances,n_candidate,n_compiled_report,n_study_bank,instance_ids,source_authors,companies_stated,companies_bank_tag,company_pairs,named_concepts,named_tools,merge_kind,n_wordings
UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",study bank,study bank,8,0,0,8,PALLAVI-0002|PALLAVI-0003|PALLAVI-0004|PALLAVI-0005|PALLAVI-0006|PALLAVI-0007|PALLAVI-0008|PALLAVI-0009,pallavi-shekhar,,Amazon|Apple|Character.AI|Mistral AI|NVIDIA|OpenAI|Together AI|xAI,Amazon:bank_tag|Apple:bank_tag|Character.AI:bank_tag|Mistral AI:bank_tag|NVIDIA:bank_tag|OpenAI:bank_tag|Together AI:bank_tag|xAI:bank_tag,KV cache,,exact,1
UQ-0002,What is a mixture-of-experts architecture and how does it scale capacity without scaling FLOPs?,study bank,study bank,6,0,0,6,PALLAVI-0023|PALLAVI-0024|PALLAVI-0025|PALLAVI-0026|PALLAVI-0027|PALLAVI-0028,pallavi-shekhar,,Alibaba|Cohere|DeepSeek|Mistral AI|Moonshot AI|Zhipu AI,Alibaba:bank_tag|Cohere:bank_tag|DeepSeek:bank_tag|Mistral AI:bank_tag|Moonshot AI:bank_tag|Zhipu AI:bank_tag,,,exact,1
UQ-0003,What is catastrophic forgetting and how do you mitigate it during fine-tuning?,study bank,study bank,6,0,0,6,PALLAVI-0126|PALLAVI-0127|PALLAVI-0128|PALLAVI-0129|PALLAVI-0130|PALLAVI-0131,pallavi-shekhar,,Cohere|Databricks|Glean|Microsoft|Mistral AI|OpenAI,Cohere:bank_tag|Databricks:bank_tag|Glean:bank_tag|Microsoft:bank_tag|Mistral AI:bank_tag|OpenAI:bank_tag,fine-tuning,,exact,1
UQ-0004,"Compare FP16, BF16, FP8, INT8, INT4 and FP4 for serving. What breaks at each step down?",study bank,study bank,5,0,0,5,PALLAVI-0052|PALLAVI-0053|PALLAVI-0054|PALLAVI-0055|PALLAVI-0056,pallavi-shekhar,,Apple|Character.AI|Mistral AI|NVIDIA|Together AI,Apple:bank_tag|Character.AI:bank_tag|Mistral AI:bank_tag|NVIDIA:bank_tag|Together AI:bank_tag,quantization,,exact,1
UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,study bank,study bank,5,0,0,5,PALLAVI-0184|PALLAVI-0185|PALLAVI-0186|PALLAVI-0187|PALLAVI-0188,pallavi-shekhar,,Amazon|Databricks|Microsoft|OpenAI|Scale AI,Amazon:bank_tag|Databricks:bank_tag|Microsoft:bank_tag|OpenAI:bank_tag|Scale AI:bank_tag,RAG|ACL,,exact,1
UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,study bank,study bank,5,0,0,5,PALLAVI-0200|PALLAVI-0201|PALLAVI-0202|PALLAVI-0203|PALLAVI-0204,pallavi-shekhar,,Anthropic|Google DeepMind|Meta|OpenAI|xAI,Anthropic:bank_tag|Google DeepMind:bank_tag|Meta:bank_tag|OpenAI:bank_tag|xAI:bank_tag,,,exact,1
UQ-0007,What is continuous (in-flight) batching and why did it replace static batching?,study bank,study bank,5,0,0,5,PALLAVI-0041|PALLAVI-0042|PALLAVI-0043|PALLAVI-0044|PALLAVI-0045,pallavi-shekhar,,Anthropic|Mistral AI|NVIDIA|Together AI|xAI,Anthropic:bank_tag|Mistral AI:bank_tag|NVIDIA:bank_tag|Together AI:bank_tag|xAI:bank_tag,,,exact,1
UQ-0008,"Compare tensor, pipeline, data, sequence and expert parallelism. When do you combine them?",study bank,study bank,4,0,0,4,PALLAVI-0057|PALLAVI-0058|PALLAVI-0059|PALLAVI-0060,pallavi-shekhar,,Amazon|Google DeepMind|Meta|NVIDIA,Amazon:bank_tag|Google DeepMind:bank_tag|Meta:bank_tag|NVIDIA:bank_tag,,,exact,1
UQ-0009,Design permission-aware retrieval: users must never see content they can't access in the source system.,study bank,study bank,4,0,0,4,PALLAVI-0091|PALLAVI-0092|PALLAVI-0093|PALLAVI-0094,pallavi-shekhar,,Databricks|Glean|Microsoft|Palantir,Databricks:bank_tag|Glean:bank_tag|Microsoft:bank_tag|Palantir:bank_tag,ACL,,exact,1
UQ-0010,How would you cut LLM serving cost by 10x? Enumerate every lever and rank them.,study bank,study bank,4,0,0,4,PALLAVI-0069|PALLAVI-0070|PALLAVI-0071|PALLAVI-0072,pallavi-shekhar,,Amazon|Cursor|Microsoft|NVIDIA,Amazon:bank_tag|Cursor:bank_tag|Microsoft:bank_tag|NVIDIA:bank_tag,,,exact,1
UQ-0011,"How would you evaluate an agent, as opposed to a single model response?",study bank,study bank,4,0,0,4,PALLAVI-0154|PALLAVI-0155|PALLAVI-0156|PALLAVI-0157,pallavi-shekhar,,Cognition|Moonshot AI|Scale AI|Zhipu AI,Cognition:bank_tag|Moonshot AI:bank_tag|Scale AI:bank_tag|Zhipu AI:bank_tag,,,exact,1
UQ-0012,"Implement a token-bucket rate limiter, then make it distributed.",study bank,study bank,4,0,0,4,PALLAVI-0218|PALLAVI-0219|PALLAVI-0220|PALLAVI-0221,pallavi-shekhar,,Anthropic|Cohere|OpenAI|xAI,Anthropic:bank_tag|Cohere:bank_tag|OpenAI:bank_tag|xAI:bank_tag,rate limiting,,exact,1
UQ-0013,"What is prompt injection (direct and indirect), and what is your layered defence?",study bank,study bank,4,0,0,4,PALLAVI-0158|PALLAVI-0159|PALLAVI-0160|PALLAVI-0161,pallavi-shekhar,,Anthropic|Microsoft|OpenAI|Sierra,Anthropic:bank_tag|Microsoft:bank_tag|OpenAI:bank_tag|Sierra:bank_tag,prompt injection,,exact,1
UQ-0014,What is RLVR (RL with verifiable rewards) and where does it beat a learned reward model?,study bank,study bank,4,0,0,4,PALLAVI-0134|PALLAVI-0135|PALLAVI-0136|PALLAVI-0137,pallavi-shekhar,,Alibaba|Sarvam AI|Scale AI|Zhipu AI,Alibaba:bank_tag|Sarvam AI:bank_tag|Scale AI:bank_tag|Zhipu AI:bank_tag,,,exact,1
UQ-0015,Your p99 latency doubled after a deploy with no model change. Walk through the diagnosis.,study bank,study bank,4,0,0,4,PALLAVI-0073|PALLAVI-0074|PALLAVI-0075|PALLAVI-0076,pallavi-shekhar,,Amazon|Databricks|OpenAI|Perplexity,Amazon:bank_tag|Databricks:bank_tag|OpenAI:bank_tag|Perplexity:bank_tag,,,exact,1
UQ-0016,"Compare greedy, beam search, top-k, top-p and temperature sampling. When does each fail?",study bank,study bank,3,0,0,3,PALLAVI-0031|PALLAVI-0032|PALLAVI-0033,pallavi-shekhar,,Apple|Google DeepMind|Perplexity,Apple:bank_tag|Google DeepMind:bank_tag|Perplexity:bank_tag,temperature,,exact,1
UQ-0017,Explain RoPE and how position interpolation / YaRN extend context beyond the trained length.,study bank,study bank,3,0,0,3,PALLAVI-0019|PALLAVI-0020|PALLAVI-0021,pallavi-shekhar,,Alibaba|Meta|Moonshot AI,Alibaba:bank_tag|Meta:bank_tag|Moonshot AI:bank_tag,RoPE,,exact,1
UQ-0018,Explain the prefill and decode phases. Why is prefill compute-bound and decode memory-bandwidth-bound?,study bank,study bank,3,0,0,3,PALLAVI-0038|PALLAVI-0039|PALLAVI-0040,pallavi-shekhar,,Moonshot AI|NVIDIA|Together AI,Moonshot AI:bank_tag|NVIDIA:bank_tag|Together AI:bank_tag,prefill/decode,,exact,1
UQ-0019,How do you attribute every claim in a generated answer to a specific retrieved span?,study bank,study bank,3,0,0,3,PALLAVI-0099|PALLAVI-0100|PALLAVI-0101,pallavi-shekhar,,Abridge|Harvey|Perplexity,Abridge:bank_tag|Harvey:bank_tag|Perplexity:bank_tag,,,exact,1
UQ-0020,How do you choose between a sparse retriever (BM25) and a dense retriever? When do you need both?,study bank,study bank,3,0,0,3,PALLAVI-0081|PALLAVI-0082|PALLAVI-0083,pallavi-shekhar,,Glean|Microsoft|Perplexity,Glean:bank_tag|Microsoft:bank_tag|Perplexity:bank_tag,BM25,,exact,1
UQ-0021,How do you detect and measure hallucinations in a production RAG system?,study bank,study bank,3,0,0,3,PALLAVI-0143|PALLAVI-0144|PALLAVI-0145,pallavi-shekhar,,Anthropic|Cursor|OpenAI,Anthropic:bank_tag|Cursor:bank_tag|OpenAI:bank_tag,hallucination|RAG,,exact,1
UQ-0022,"How does Byte Pair Encoding work, and what are its failure modes (numbers, code, non-Latin scripts)?",study bank,study bank,3,0,0,3,PALLAVI-0015|PALLAVI-0016|PALLAVI-0017,pallavi-shekhar,,Alibaba|Hugging Face|Sarvam AI,Alibaba:bank_tag|Hugging Face:bank_tag|Sarvam AI:bank_tag,,,exact,1
UQ-0023,"Implement an LRU cache with O(1) get/put, then add TTL.",study bank,study bank,3,0,0,3,PALLAVI-0215|PALLAVI-0216|PALLAVI-0217,pallavi-shekhar,,Alibaba|OpenAI|xAI,Alibaba:bank_tag|OpenAI:bank_tag|xAI:bank_tag,,,exact,1
UQ-0024,"Implement multi-head attention, then convert it to grouped-query attention.",study bank,study bank,3,0,0,3,PALLAVI-0208|PALLAVI-0209|PALLAVI-0210,pallavi-shekhar,,Alibaba|Google DeepMind|Mistral AI,Alibaba:bank_tag|Google DeepMind:bank_tag|Mistral AI:bank_tag,attention,,exact,1
UQ-0025,"Implement scaled dot-product attention with a causal mask, from scratch, in NumPy or PyTorch.",study bank,study bank,3,0,0,3,PALLAVI-0205|PALLAVI-0206|PALLAVI-0207,pallavi-shekhar,,Amazon|Anthropic|Google DeepMind,Amazon:bank_tag|Anthropic:bank_tag|Google DeepMind:bank_tag,attention,PyTorch|NumPy,exact,1
UQ-0026,"What are TTFT, TPOT, ITL and throughput, and how do they trade against each other?",study bank,study bank,3,0,0,3,PALLAVI-0062|PALLAVI-0063|PALLAVI-0064,pallavi-shekhar,,Apple|Microsoft|Perplexity,Apple:bank_tag|Microsoft:bank_tag|Perplexity:bank_tag,,,exact,1
UQ-0027,"What is a reranker, when should you use one, and what does a cross-encoder cost you?",study bank,study bank,3,0,0,3,PALLAVI-0084|PALLAVI-0085|PALLAVI-0086,pallavi-shekhar,,Cohere|Microsoft|Perplexity,Cohere:bank_tag|Microsoft:bank_tag|Perplexity:bank_tag,reranking|cross-encoder,,exact,1
UQ-0028,What is benchmark contamination and how do you guard against it?,study bank,study bank,3,0,0,3,PALLAVI-0148|PALLAVI-0149|PALLAVI-0150,pallavi-shekhar,,Alibaba|Scale AI|Zhipu AI,Alibaba:bank_tag|Scale AI:bank_tag|Zhipu AI:bank_tag,,,exact,1
UQ-0029,"A bank wants the whole stack - model, RAG, agents - deployed air-gapped on their own GPUs. What actually changes versus your SaaS?",study bank,study bank,2,0,0,2,PALLAVI-0345|OMB-0620,ombharatiya|pallavi-shekhar,,Cohere,Cohere:bank_tag,RAG,,exact,1
UQ-0030,"A chat assistant re-sends a long conversation history on every turn. How do you avoid recomputing all of it, and what are the pitfalls?",study bank,study bank,2,0,0,2,PALLAVI-0360|OMB-0785,ombharatiya|pallavi-shekhar,,Moonshot AI|Moonshot AI (Kimi),Moonshot AI (Kimi):bank_tag|Moonshot AI:bank_tag,,,exact,1
UQ-0031,"A community contributor opens a PR adding a new model architecture to `transformers`. You're the reviewing maintainer - what do you check, and how do you handle the interaction?",study bank,study bank,2,0,0,2,PALLAVI-0493|OMB-0745,ombharatiya|pallavi-shekhar,,Hugging Face,Hugging Face:bank_tag,,,exact,1
UQ-0032,"A conversation runs past the context window. What do you keep, and how do you decide?",study bank,study bank,2,0,0,2,PALLAVI-0561|OMB-0595,ombharatiya|pallavi-shekhar,,Character.AI,Character.AI:bank_tag,context window,,exact,1
UQ-0033,"A Copilot chat feature has a p95 latency budget of 3 seconds to first useful content. Where does the time go, and how do you cut it?",study bank,study bank,2,0,0,2,PALLAVI-0394|OMB-0764,ombharatiya|pallavi-shekhar,,Microsoft,Microsoft:bank_tag,,,near,2
UQ-0034,"A customer insists on fine-tuning an open model on their support tickets because ""we want our own model."" You think RAG over their knowledge base solves it. What do you do?",study bank,study bank,2,0,0,2,PALLAVI-0470|OMB-0647,ombharatiya|pallavi-shekhar,,Databricks,Databricks:bank_tag,RAG|fine-tuning,,near,2
UQ-0035,A customer says “the model got worse” after you upgraded model versions in their deployment. How do you verify and respond?,study bank,study bank,2,0,0,2,PALLAVI-0275|OMB-0814,ombharatiya|pallavi-shekhar,,OpenAI,OpenAI:bank_tag,,,exact,1
UQ-0036,A customer wants to migrate from a proprietary frontier-model API to an open model. How do you run that engagement?,study bank,study bank,2,0,0,2,PALLAVI-0485|OMB-0900,ombharatiya|pallavi-shekhar,,Together AI,Together AI:bank_tag,,,exact,1
UQ-0037,A generated note contains a medication the patient never mentioned. Treat that as a safety incident: how do you detect it before a clinician sees it?,study bank,study bank,2,0,0,2,PALLAVI-0579|OMB-0545,ombharatiya|pallavi-shekhar,,Abridge,Abridge:bank_tag,,,exact,1
UQ-0038,"A model passes bit-exact against the functional simulator on one chip, but produces wrong output at rack scale. How do you find it?",study bank,study bank,2,0,0,2,PALLAVI-0475|OMB-0720,ombharatiya|pallavi-shekhar,,Groq,Groq:bank_tag,,,exact,1
UQ-0039,A new frontier model is released and it scores better on your benchmarks. What happens before it reaches customers?,study bank,study bank,2,0,0,2,PALLAVI-0549|OMB-0731,ombharatiya|pallavi-shekhar,,Harvey,Harvey:bank_tag,,,near,2
UQ-0040,A regional government wants an assistant in a low-resource language with only a few thousand sentences of clean text. How do you adapt a model to it?,study bank,study bank,2,0,0,2,PALLAVI-0386|OMB-0860,ombharatiya|pallavi-shekhar,,Sarvam AI,Sarvam AI:bank_tag,,,exact,1
UQ-0041,"A shipped Copilot feature that summarises job applicants for recruiters is accused of working worse for some groups of candidates. How do you establish whether that's true, and what do you do about it?",study bank,study bank,2,0,0,2,PALLAVI-0400|OMB-0768,ombharatiya|pallavi-shekhar,,Microsoft,Microsoft:bank_tag,,,near,2
UQ-0042,A Structured Streaming job reads Kafka and writes to a Delta table. The cluster is killed mid-batch and restarts. Does the customer get duplicate rows? Explain at the level of the checkpoint and the transaction log.,study bank,study bank,2,0,0,2,PALLAVI-0467|OMB-0648,ombharatiya|pallavi-shekhar,,Databricks,Databricks:bank_tag,,Kafka,exact,1
UQ-0043,A user loads a 2 TB dataset with `datasets` on a 64 GB RAM machine and it works. How? And when does it stop working?,study bank,study bank,2,0,0,2,PALLAVI-0487|OMB-0741,ombharatiya|pallavi-shekhar,,Hugging Face,Hugging Face:bank_tag,,,exact,1
UQ-0044,"A whole-body controller trained entirely in simulation has to run on real hardware. What transfers, what does not, and how do you close the gap?",study bank,study bank,2,0,0,2,PALLAVI-0584|OMB-0681,ombharatiya|pallavi-shekhar,,Figure AI,Figure AI:bank_tag,,,exact,1
UQ-0045,"After fine-tuning on a customer's task, target-task accuracy is up but the model got worse at everything else. What happened and what do you do?",study bank,study bank,2,0,0,2,PALLAVI-0337|OMB-0781,ombharatiya|pallavi-shekhar,,Mistral|Mistral AI,Mistral AI:bank_tag|Mistral:bank_tag,fine-tuning,,near,2
UQ-0046,"An agent needs to iterate on code - run builds, tests, lints - without disturbing what the user sees in their editor. How do you architect that?",study bank,study bank,2,0,0,2,PALLAVI-0525|OMB-0632,ombharatiya|pallavi-shekhar,,Cursor|Cursor (Anysphere),Cursor (Anysphere):bank_tag|Cursor:bank_tag,,,near,2
UQ-0047,An agentic research query returns a memo citing a case that was overruled. Where does that get caught?,study bank,study bank,2,0,0,2,PALLAVI-0550|OMB-0729,ombharatiya|pallavi-shekhar,,Harvey,Harvey:bank_tag,,,exact,1
UQ-0048,"An autonomous agent has write access to a customer's repository, CI credentials and network access. What is your threat model?",study bank,study bank,2,0,0,2,PALLAVI-0533|OMB-0613,ombharatiya|pallavi-shekhar,,"Cognition|Cognition (Devin, Windsurf)","Cognition (Devin, Windsurf):bank_tag|Cognition:bank_tag",,,exact,1
UQ-0049,An enterprise customer reports that responses from your deployed system have gotten slow. Walk me through the diagnosis.,study bank,study bank,2,0,0,2,PALLAVI-0276|OMB-0813,ombharatiya|pallavi-shekhar,,OpenAI,OpenAI:bank_tag,,,exact,1
