figure_title,company,priority,n_tagged_questions,n_firm
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,evals,33,31
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,fine_tuning,19,17
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,system_design,17,13
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,serving_cost,15,13
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,coding,15,13
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,tokens_attention,11,11
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,injection_gates,9,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,context_sampling,9,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,unclear,9,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,agent_reliability,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,hybrid_search,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,classic_ml,6,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,api_control,5,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,embeddings,3,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,data_plane,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,grounding,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,chunking,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,ann_indexes,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",OpenAI,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,agent_reliability,20,19
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,system_design,11,10
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,coding,11,8
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,unclear,8,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,api_control,7,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,tokens_attention,6,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,evals,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,serving_cost,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,fine_tuning,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,project_defense,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,injection_gates,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,grounding,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,data_plane,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Anthropic,classic_ml,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,classic_ml,31,28
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,unclear,15,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,system_design,9,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,serving_cost,7,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,evals,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,data_plane,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,tokens_attention,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,fine_tuning,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,project_defense,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,agent_reliability,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Amazon,coding,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,system_design,8,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,evals,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,hybrid_search,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,serving_cost,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,grounding,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,api_control,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,context_sampling,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,data_plane,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,fine_tuning,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,embeddings,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Perplexity,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,serving_cost,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,classic_ml,5,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,fine_tuning,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,data_plane,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,hybrid_search,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,evals,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,agent_reliability,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,injection_gates,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,system_design,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Microsoft,project_defense,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,serving_cost,23,22
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,system_design,4,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,coding,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,classic_ml,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",NVIDIA,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,system_design,13,12
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,tokens_attention,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,coding,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,fine_tuning,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,classic_ml,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,serving_cost,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Meta,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,system_design,10,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,coding,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,unclear,4,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,data_plane,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,agent_reliability,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,api_control,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,injection_gates,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,evals,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Palantir,serving_cost,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,evals,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,hybrid_search,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,system_design,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,fine_tuning,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,api_control,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,ann_indexes,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,project_defense,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,tokens_attention,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,unclear,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Cohere,embeddings,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,system_design,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,tokens_attention,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,classic_ml,4,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,context_sampling,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Google DeepMind,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,serving_cost,6,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,system_design,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,coding,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,api_control,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,unclear,2,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",xAI,classic_ml,2,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,system_design,8,8
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,fine_tuning,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,data_plane,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,coding,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Databricks,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,evals,7,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,system_design,6,6
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,fine_tuning,5,5
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,coding,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,data_plane,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Scale AI,agent_reliability,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Together AI,serving_cost,16,15
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Together AI,system_design,3,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Together AI,coding,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Together AI,tokens_attention,1,0
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,tokens_attention,8,7
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,fine_tuning,4,4
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,coding,3,3
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,evals,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,serving_cost,2,2
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,project_defense,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Alibaba,system_design,1,1
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,serving_cost,9,9
"Priority counts inside a company's tag pile. Bank tags, not interviews.",Moonshot AI,tokens_attention,5,3
