figure_title,company,rank,unified_id,question_text,primary_priority,primary_use,source_types
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,1,UQ-0001,"What is the KV cache, and what are its memory implications at scale? Derive the formula.",serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,2,UQ-0003,What is catastrophic forgetting and how do you mitigate it during fine-tuning?,fine_tuning,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,3,UQ-0005,Design an enterprise RAG assistant over 10M documents with per-user permissions.,data_plane,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,4,UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,5,UQ-0012,"Implement a token-bucket rate limiter, then make it distributed.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,6,UQ-0013,"What is prompt injection (direct and indirect), and what is your layered defence?",injection_gates,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,7,UQ-0015,Your p99 latency doubled after a deploy with no model change. Walk through the diagnosis.,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,8,UQ-0023,"Implement an LRU cache with O(1) get/put, then add TTL.",coding,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,9,UQ-0021,How do you detect and measure hallucinations in a production RAG system?,grounding,review,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,OpenAI,10,UQ-0035,A customer says “the model got worse” after you upgraded model versions in their deployment. How do you verify and respond?,evals,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,1,UQ-0006,Design the serving stack for a consumer chat assistant at hundreds of millions of users.,system_design,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,2,UQ-0007,What is continuous (in-flight) batching and why did it replace static batching?,serving_cost,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,3,UQ-0012,"Implement a token-bucket rate limiter, then make it distributed.",api_control,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,4,UQ-0013,"What is prompt injection (direct and indirect), and what is your layered defence?",injection_gates,firm,study bank
Tags in study banks and compiled reports. Not the probability this company asks this.,Anthropic,5,UQ-0021,How do you detect and measure hallucinations in a production RAG system?,grounding,review,study bank
